year_week,category,num_items_sold,total_price,total_freight_value,most_sold_state,most_bought_state,avg_review_score,week_of_year
2017-01-02/2017-01-08,automotive,2,21.8,17.44,PR,PR,5.0,1
2017-01-02/2017-01-08,baby,2,21.8,17.44,PR,PR,5.0,1
2017-01-02/2017-01-08,beauty_health,6,3550.0,172.98000000000002,SP,RN,5.0,1
2017-01-02/2017-01-08,entertainment,3,129.70000000000002,32.38,PR,PR,4.666666666666667,1
2017-01-02/2017-01-08,fashion,10,228.09000000000003,89.86000000000001,PR,PR,5.0,1
2017-01-02/2017-01-08,furniture,10,177.0,104.18,PR,PR,4.4,1
2017-01-02/2017-01-08,garden_tools,2,304.9,43.81,PR,BA,4.0,1
2017-01-02/2017-01-08,gifts,1,149.0,15.21,SP,RJ,5.0,1
2017-01-02/2017-01-08,office_supplies,1,10.9,8.72,PR,PR,5.0,1
2017-01-02/2017-01-08,other,2,798.0,48.52,SP,PR,1.0,1
2017-01-02/2017-01-08,pets,5,42.5,43.6,PR,PR,5.0,1
2017-01-02/2017-01-08,telephony,2,21.48,25.07,SP,RJ,5.0,1
2017-01-02/2017-01-08,toys,3,203.79000000000002,40.06,PR,ES,4.666666666666667,1
2017-01-09/2017-01-15,baby,2,179.8,26.04,SP,MG,4.5,2
2017-01-09/2017-01-15,beauty_health,3,649.79,57.95,SP,BA,4.0,2
2017-01-09/2017-01-15,electronics,4,402.90000000000003,68.64,BA,GO,4.0,2
2017-01-09/2017-01-15,entertainment,1,109.9,14.94,SP,RJ,4.0,2
2017-01-09/2017-01-15,fashion,2,123.88999999999999,39.5,SP,CE,3.0,2
2017-01-09/2017-01-15,furniture,36,2322.7000000000003,518.37,SP,SP,3.8333333333333335,2
2017-01-09/2017-01-15,garden_tools,9,3420.0,379.18,DF,MG,3.5555555555555554,2
2017-01-09/2017-01-15,gifts,3,1107.17,62.1,SP,CE,3.6666666666666665,2
2017-01-09/2017-01-15,home_appliances,2,474.99,42.0,MG,MG,5.0,2
2017-01-09/2017-01-15,housewares,2,518.89,29.560000000000002,SC,SC,5.0,2
2017-01-09/2017-01-15,other,3,564.89,49.11,RJ,DF,3.6666666666666665,2
2017-01-09/2017-01-15,pets,1,7.9,8.72,PR,PR,5.0,2
2017-01-09/2017-01-15,sports,7,823.6,190.01000000000002,PR,DF,3.5714285714285716,2
2017-01-09/2017-01-15,telephony,6,112.25999999999999,85.81,SP,MG,4.666666666666667,2
2017-01-09/2017-01-15,toys,2,289.89,45.519999999999996,SC,MG,5.0,2
2017-01-16/2017-01-22,automotive,11,1827.99,210.51999999999998,SP,MG,2.909090909090909,3
2017-01-16/2017-01-22,baby,11,747.05,225.75,SP,MG,4.818181818181818,3
2017-01-16/2017-01-22,beauty_health,20,3231.75,325.96,SP,SP,4.05,3
2017-01-16/2017-01-22,electronics,16,962.6,215.74,SP,SP,3.8125,3
2017-01-16/2017-01-22,entertainment,6,1211.8600000000001,98.69999999999999,SP,SP,5.0,3
2017-01-16/2017-01-22,fashion,6,507.75,112.92999999999999,MG,SP,4.166666666666667,3
2017-01-16/2017-01-22,furniture,101,7165.12,1666.54,SP,SP,4.108910891089109,3
2017-01-16/2017-01-22,garden_tools,8,670.6600000000001,141.49,SP,RS,4.625,3
2017-01-16/2017-01-22,gifts,2,568.0,42.63,PR,MG,4.5,3
2017-01-16/2017-01-22,home_appliances,2,504.9,33.94,MG,RJ,4.5,3
2017-01-16/2017-01-22,housewares,4,698.15,65.94,SP,SP,4.25,3
2017-01-16/2017-01-22,office_supplies,10,881.39,130.53,SP,MG,4.8,3
2017-01-16/2017-01-22,other,8,1587.58,151.39000000000001,SP,SP,3.25,3
2017-01-16/2017-01-22,pets,3,294.33,92.78999999999999,SP,BA,4.333333333333333,3
2017-01-16/2017-01-22,sports,21,1731.43,375.62,PR,SP,4.619047619047619,3
2017-01-16/2017-01-22,telephony,11,383.82000000000005,144.79,SP,SP,3.727272727272727,3
2017-01-16/2017-01-22,toys,11,858.45,158.88,SP,SP,4.454545454545454,3
2017-01-23/2017-01-29,automotive,12,2274.06,232.31,SP,SP,4.083333333333333,4
2017-01-23/2017-01-29,baby,16,4409.37,344.18,SP,SP,4.625,4
2017-01-23/2017-01-29,beauty_health,72,9763.17,1141.84,SP,SP,4.333333333333333,4
2017-01-23/2017-01-29,electronics,18,2575.14,259.35,SP,SP,4.444444444444445,4
