week,month_of_year,week_of_month,bed_bath_table_items,computers_accessories_items,furniture_decor_items,health_beauty_items,sports_leisure_items,bed_bath_table_price,computers_accessories_price,furniture_decor_price,health_beauty_price,sports_leisure_price,bed_bath_table_freight,computers_accessories_freight,furniture_decor_freight,health_beauty_freight,sports_leisure_freight,bed_bath_table_review,computers_accessories_review,furniture_decor_review,health_beauty_review,sports_leisure_review,bed_bath_table_shipping,computers_accessories_shipping,furniture_decor_shipping,health_beauty_shipping,sports_leisure_shipping
2017-01-02/2017-01-08,1,1,1,0,1,5,0,68.9,0.0,34.9,3180.0,0.0,15.69,0.0,12.93,153.55,0.0,3.0,4.03599532113994,1.0,5.0,4.03599532113994,3.0683333333333334,0.0,12.167962962962964,9.341817129629629,0.0
2017-01-09/2017-01-15,1,2,4,3,26,2,7,233.60000000000002,363.0,1538.7,539.89,823.6,69.21,57.67999999999999,363.46,37.1,190.01000000000002,5.0,3.6666666666666665,3.8076923076923075,3.5,3.5714285714285716,11.44988136574074,9.533213734567902,10.920442485754986,11.687291666666667,9.529570105820104
2017-01-16/2017-01-22,1,3,10,3,74,13,19,1041.6000000000001,240.7,4740.7300000000005,2475.2599999999998,1597.63,219.07999999999998,50.56,1173.42,206.07999999999998,321.74,3.9,4.666666666666667,4.013513513513513,4.076923076923077,4.578947368421052,18.57645601851852,12.217507716049383,13.096654936186185,11.964476495726498,15.106909722222222
2017-01-23/2017-01-29,1,4,14,14,49,39,44,935.6800000000001,2445.44,3456.27,4360.61,5959.51,222.69,173.56,868.25,622.57,900.25,4.285714285714286,4.428571428571429,3.938775510204082,3.923076923076923,4.159090909090909,12.867290013227514,9.616145006613758,11.042740457294029,12.381286799620133,12.298835227272725
2017-01-30/2017-02-05,1,5,27,18,58,44,34,2800.14,1592.53,5122.64,9084.82,4059.23,442.53000000000003,291.12,1087.44,1181.76,841.47,4.444444444444445,3.9444444444444446,4.017241379310345,4.4772727272727275,4.029411764705882,10.120262774348422,11.97367734053498,11.456786198914433,11.561071390993265,17.543359204793028
2017-02-06/2017-02-12,2,1,36,22,50,42,52,3367.7000000000003,5746.57,3709.19,3627.9,4146.97,626.99,344.51,1116.41,671.6,828.39,4.416666666666667,3.9545454545454546,4.12,4.333333333333333,4.519230769230769,10.020368119855966,11.343432765151515,15.110280555555555,11.647048886684303,11.95707821403134
2017-02-13/2017-02-19,2,2,48,20,58,18,20,5132.52,1894.01,4300.32,2843.73,3265.04,856.23,335.02,1142.78,498.47,414.03000000000003,4.125,3.75,3.6551724137931036,3.8333333333333335,4.4,12.573488377700619,13.080340277777776,12.226449353448276,11.127835648148148,12.921928819444442
2017-02-20/2017-02-26,2,3,32,26,61,29,28,2940.9900000000002,1534.99,3921.7400000000002,3616.2200000000003,3379.19,639.44,460.24,1035.0,518.09,574.71,4.625,4.346153846153846,3.7868852459016393,4.206896551724138,4.464285714285714,13.595668041087963,14.498149038461538,14.076802709471767,10.59332974137931,13.09437251984127
2017-02-27/2017-03-05,2,4,50,18,86,25,37,4931.58,2566.32,5304.59,2745.5,3798.5,830.87,317.89,1574.1200000000001,445.54,696.75,4.0,3.6666666666666665,4.127906976744186,4.24,4.621621621621622,13.652541203703704,13.609976208847737,12.75072216838932,15.682406481481483,11.075042542542542
2017-03-06/2017-03-12,3,1,65,35,55,36,37,6614.05,2727.6800000000003,3772.5,5231.7,3725.79,1091.98,649.27,929.98,735.42,738.61,3.8,3.2857142857142856,4.290909090909091,4.388888888888889,4.216216216216216,14.135686075498574,13.24978439153439,13.960209806397305,10.663884387860083,11.417469657157158
2017-03-13/2017-03-19,3,2,48,24,61,46,36,3940.13,2342.34,4380.9800000000005,7211.21,9632.9,801.91,472.45,1075.98,987.69,1323.28,3.8125,4.208333333333333,4.262295081967213,4.173913043478261,4.25,16.706387201003086,12.538103298611112,13.294605532786886,12.41950256642512,9.165216692386831
2017-03-20/2017-03-26,3,3,62,30,52,44,38,5664.02,7520.45,4521.81,5172.15,4274.83,996.14,582.12,1036.26,731.75,738.81,3.903225806451613,4.033333333333333,3.3076923076923075,4.386363636363637,3.8947368421052633,11.681236372461171,12.113064814814814,10.156761485042734,12.444605692340069,14.696041666666666
2017-03-27/2017-04-02,3,4,71,30,30,38,35,5498.21,5657.87,2392.51,4308.05,3451.78,1256.2,505.52000000000004,538.85,620.96,615.71,4.126760563380282,4.0,4.033333333333333,4.5,4.514285714285714,13.941334441836203,12.949511574074075,12.552785493827162,12.233565423976609,14.174625661375662
2017-04-03/2017-04-09,4,1,68,14,40,33,44,5563.110000000001,4607.54,2677.06,3358.99,5423.13,1122.96,282.35,683.36,586.14,749.66,4.088235294117647,4.285714285714286,3.975,3.9393939393939394,4.340909090909091,11.555057189542485,11.226135085978836,12.792399016203705,11.623510451739618,12.751413089225588
2017-04-10/2017-04-16,4,2,37,19,24,26,33,3239.88,2143.79,3516.86,3876.57,2730.92,640.56,321.85,549.01,583.84,605.72,4.27027027027027,4.2105263157894735,4.0,4.230769230769231,3.5454545454545454,10.357856606606607,13.280730994152048,13.926125578703704,11.998161502849003,12.589054082491582
2017-04-17/2017-04-23,4,3,83,29,50,43,40,6867.84,4848.09,3973.06,5419.64,5197.39,1445.74,484.25,991.84,791.0,850.62,3.8674698795180724,4.0344827586206895,3.48,4.255813953488372,3.975,12.357077197679608,11.819494332694763,11.811997685185185,11.305434969853575,12.080912037037036
2017-04-24/2017-04-30,4,4,41,36,45,49,46,3576.11,2425.08,5105.81,5800.56,5144.62,688.45,648.84,965.16,848.4399999999999,978.4,3.8292682926829267,3.138888888888889,4.377777777777778,4.0,4.391304347826087,11.283441169828365,14.068020190329218,11.439498971193416,11.499842923280424,10.844729267310788
2017-05-01/2017-05-07,5,1,74,31,52,63,58,5467.7,3732.25,3889.34,8152.5199999999995,6873.86,1274.49,503.62,847.35,1110.35,1184.14,4.216216216216216,4.387096774193548,4.173076923076923,4.079365079365079,4.051724137931035,13.091409534534534,10.77285804958184,11.172710559116808,12.504088955026454,11.120642959770116
2017-05-08/2017-05-14,5,2,76,76,42,52,46,7172.17,13009.93,3265.96,8752.64,4151.06,1201.47,1626.77,963.71,1310.17,939.9,3.3026315789473686,4.25,3.4761904761904763,3.923076923076923,4.673913043478261,12.57742278874269,12.62215262548733,12.3103692680776,11.703657407407407,11.34701514694042
2017-05-15/2017-05-21,5,3,79,74,88,48,67,7356.47,8261.49,8959.14,7965.73,9638.59,1332.85,1245.72,1915.46,871.91,1398.62,4.1645569620253164,4.324324324324325,4.034090909090909,4.395833333333333,3.91044776119403,11.262967651195499,12.227254129129129,11.972757654671717,11.271827256944446,13.8580565920398
2017-05-22/2017-05-28,5,4,78,44,39,53,65,7226.24,6620.1,3981.84,8702.15,5016.79,1379.94,750.03,1030.51,1199.6,1126.25,4.294871794871795,4.75,3.871794871794872,4.339622641509434,4.384615384615385,13.431830929487178,12.332329282407407,12.594614197530863,11.314183481830886,12.650735754985755
2017-05-29/2017-06-04,5,5,57,51,51,67,43,4784.12,6426.42,4047.38,9652.44,5754.46,977.79,800.02,860.09,1321.18,852.55,4.087719298245614,4.2745098039215685,4.098039215686274,4.074626865671642,4.534883720930233,13.296538133528266,14.877004811183733,11.387805691721132,13.39494990326147,12.346667474160206
2017-06-05/2017-06-11,6,1,117,58,54,44,57,9066.83,9338.23,2465.25,6524.3,7667.6900000000005,2016.05,1006.47,912.86,718.93,1332.8,4.230769230769231,4.189655172413793,4.333333333333333,4.5227272727272725,4.2105263157894735,13.135162135960748,11.797814495530014,11.147121484910837,14.254324494949493,11.74783422677063
2017-06-12/2017-06-18,6,2,87,67,33,46,65,7613.650000000001,7258.34,1992.94,3768.35,6580.33,1381.34,1110.26,529.86,730.78,1377.8799999999999,4.160919540229885,3.6865671641791047,4.424242424242424,4.195652173913044,4.584615384615384,12.547813697318007,12.027327079878386,11.089142466329966,13.711688053542673,11.336486467236467
