year_week,category,num_items_sold,total_price,total_freight_value,most_sold_state,most_bought_state,avg_review_score,week_of_year
2017-01-02/2017-01-08,automotive,2.0,21.8,17.44,PR,PR,5.0,1
2017-01-02/2017-01-08,baby,2.0,21.8,17.44,PR,PR,5.0,1
2017-01-02/2017-01-08,beauty_health,6.0,3550.0,172.98000000000002,SP,RN,5.0,1
2017-01-02/2017-01-08,construction_tools,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,electronics,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,entertainment,3.0,129.70000000000002,32.38,PR,PR,4.666666666666667,1
2017-01-02/2017-01-08,fashion,10.0,228.09000000000003,89.86000000000001,PR,PR,5.0,1
2017-01-02/2017-01-08,food,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,furniture,10.0,177.0,104.18,PR,PR,4.4,1
2017-01-02/2017-01-08,garden_tools,2.0,304.9,43.81,PR,BA,4.0,1
2017-01-02/2017-01-08,gifts,1.0,149.0,15.21,SP,RJ,5.0,1
2017-01-02/2017-01-08,home_appliances,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,housewares,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,luggage,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,office_supplies,1.0,10.9,8.72,PR,PR,5.0,1
2017-01-02/2017-01-08,other,2.0,798.0,48.52,SP,PR,1.0,1
2017-01-02/2017-01-08,pets,5.0,42.5,43.6,PR,PR,5.0,1
2017-01-02/2017-01-08,sports,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-02/2017-01-08,telephony,2.0,21.48,25.07,SP,RJ,5.0,1
2017-01-02/2017-01-08,toys,3.0,203.79000000000002,40.06,PR,ES,4.666666666666667,1
2017-01-09/2017-01-15,automotive,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-09/2017-01-15,baby,2.0,179.8,26.04,SP,MG,4.5,1
2017-01-09/2017-01-15,beauty_health,3.0,649.79,57.95,SP,BA,4.0,1
2017-01-09/2017-01-15,construction_tools,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-09/2017-01-15,electronics,4.0,402.90000000000003,68.64,BA,GO,4.0,1
2017-01-09/2017-01-15,entertainment,1.0,109.9,14.94,SP,RJ,4.0,1
2017-01-09/2017-01-15,fashion,2.0,123.88999999999999,39.5,SP,CE,3.0,1
2017-01-09/2017-01-15,food,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-09/2017-01-15,furniture,36.0,2322.7000000000003,518.37,SP,SP,3.8333333333333335,1
2017-01-09/2017-01-15,garden_tools,9.0,3420.0,379.18,DF,MG,3.5555555555555554,1
2017-01-09/2017-01-15,gifts,3.0,1107.17,62.1,SP,CE,3.6666666666666665,1
2017-01-09/2017-01-15,home_appliances,2.0,474.99,42.0,MG,MG,5.0,1
2017-01-09/2017-01-15,housewares,2.0,518.89,29.560000000000002,SC,SC,5.0,1
2017-01-09/2017-01-15,luggage,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-09/2017-01-15,office_supplies,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-09/2017-01-15,other,3.0,564.89,49.11,RJ,DF,3.6666666666666665,1
2017-01-09/2017-01-15,pets,1.0,7.9,8.72,PR,PR,5.0,1
2017-01-09/2017-01-15,sports,7.0,823.6,190.01000000000002,PR,DF,3.5714285714285716,1
2017-01-09/2017-01-15,telephony,6.0,112.25999999999999,85.81,SP,MG,4.666666666666667,1
2017-01-09/2017-01-15,toys,2.0,289.89,45.519999999999996,SC,MG,5.0,1
2017-01-16/2017-01-22,automotive,11.0,1827.99,210.51999999999998,SP,MG,2.909090909090909,1
2017-01-16/2017-01-22,baby,11.0,747.05,225.75,SP,MG,4.818181818181818,1
2017-01-16/2017-01-22,beauty_health,20.0,3231.75,325.96,SP,SP,4.05,1
2017-01-16/2017-01-22,construction_tools,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-16/2017-01-22,electronics,16.0,962.6,215.74,SP,SP,3.8125,1
2017-01-16/2017-01-22,entertainment,6.0,1211.8600000000001,98.69999999999999,SP,SP,5.0,1
2017-01-16/2017-01-22,fashion,6.0,507.75,112.92999999999999,MG,SP,4.166666666666667,1
2017-01-16/2017-01-22,food,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-16/2017-01-22,furniture,101.0,7165.12,1666.54,SP,SP,4.108910891089109,1
2017-01-16/2017-01-22,garden_tools,8.0,670.6600000000001,141.49,SP,RS,4.625,1
2017-01-16/2017-01-22,gifts,2.0,568.0,42.63,PR,MG,4.5,1
2017-01-16/2017-01-22,home_appliances,2.0,504.9,33.94,MG,RJ,4.5,1
2017-01-16/2017-01-22,housewares,4.0,698.15,65.94,SP,SP,4.25,1
2017-01-16/2017-01-22,luggage,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-16/2017-01-22,office_supplies,10.0,881.39,130.53,SP,MG,4.8,1
2017-01-16/2017-01-22,other,8.0,1587.58,151.39000000000001,SP,SP,3.25,1
2017-01-16/2017-01-22,pets,3.0,294.33,92.78999999999999,SP,BA,4.333333333333333,1
2017-01-16/2017-01-22,sports,21.0,1731.43,375.62,PR,SP,4.619047619047619,1
2017-01-16/2017-01-22,telephony,11.0,383.82000000000005,144.79,SP,SP,3.727272727272727,1
2017-01-16/2017-01-22,toys,11.0,858.45,158.88,SP,SP,4.454545454545454,1
2017-01-23/2017-01-29,automotive,12.0,2274.06,232.31,SP,SP,4.083333333333333,1
2017-01-23/2017-01-29,baby,16.0,4409.37,344.18,SP,SP,4.625,1
2017-01-23/2017-01-29,beauty_health,72.0,9763.17,1141.84,SP,SP,4.333333333333333,1
2017-01-23/2017-01-29,construction_tools,0.0,0.0,0.0,Unknown,Unknown,4.083167229205978,1
2017-01-23/2017-01-29,electronics,18.0,2575.14,259.35,SP,SP,4.444444444444445,1
2017-01-23/2017-01-29,entertainment,12.0,3093.81,249.60999999999999,PR,SP,4.916666666666667,1
2017-01-23/2017-01-29,fashion,22.0,1216.69,331.3,MG,SP,4.181818181818182,1
2017-01-23/2017-01-29,food,2.0,42.82,36.0,CE,SP,5.0,1
2017-01-23/2017-01-29,furniture,81.0,6753.88,1509.64,SP,SP,4.08641975308642,1
2017-01-23/2017-01-29,garden_tools,22.0,2945.57,444.82,SP,MG,3.5,1
2017-01-23/2017-01-29,gifts,3.0,2820.4,70.09,SP,GO,3.3333333333333335,1
2017-01-23/2017-01-29,home_appliances,19.0,4323.4,356.93,PR,SP,4.578947368421052,1
2017-01-23/2017-01-29,housewares,20.0,1427.54,294.44,SP,SP,3.95,1
2017-01-23/2017-01-29,luggage,3.0,382.7,43.78,MG,MG,4.666666666666667,1
2017-01-23/2017-01-29,office_supplies,7.0,1229.26,164.37,SP,SP,3.2857142857142856,1
2017-01-23/2017-01-29,other,25.0,3806.73,499.58,SP,MG,4.04,1
2017-01-23/2017-01-29,pets,5.0,454.39,52.16,MG,SP,3.0,1
2017-01-23/2017-01-29,sports,48.0,6287.09,1011.35,SP,SP,4.229166666666667,1
2017-01-23/2017-01-29,telephony,14.0,471.79,226.53,SP,SP,4.357142857142857,1
2017-01-23/2017-01-29,toys,23.0,2893.9900000000002,442.61,SP,SP,4.3478260869565215,1
2017-01-30/2017-02-05,automotive,17.0,2171.1,337.73,SP,SP,4.705882352941177,1
2017-01-30/2017-02-05,baby,12.0,1034.78,192.01,RS,MG,4.25,1
2017-01-30/2017-02-05,beauty_health,87.0,14012.07,1897.42,SP,SP,4.402298850574713,1
2017-01-30/2017-02-05,construction_tools,1.0,149.9,21.13,SP,MG,5.0,1
2017-01-30/2017-02-05,electronics,22.0,4020.42,359.23,SP,SP,4.045454545454546,1
2017-01-30/2017-02-05,entertainment,14.0,3856.62,249.42,PR,MG,4.0,1
2017-01-30/2017-02-05,fashion,15.0,932.57,230.47,SP,SP,3.8666666666666667,1
2017-01-30/2017-02-05,food,1.0,149.9,17.2,CE,CE,5.0,1
2017-01-30/2017-02-05,furniture,115.0,11519.86,2433.12,SP,SP,4.139130434782609,1
2017-01-30/2017-02-05,garden_tools,28.0,1769.2,257.84,SC,GO,4.607142857142857,1
2017-01-30/2017-02-05,gifts,10.0,4827.72,160.55,SP,SP,4.5,1
2017-01-30/2017-02-05,home_appliances,12.0,1584.22,242.25,MG,SP,4.333333333333333,1
2017-01-30/2017-02-05,housewares,5.0,297.7,94.18,SP,SP,4.4,1
2017-01-30/2017-02-05,luggage,9.0,689.2,166.49,MG,SP,4.666666666666667,1
2017-01-30/2017-02-05,office_supplies,27.0,3779.66,722.41,SP,SP,3.962962962962963,1
2017-01-30/2017-02-05,other,29.0,4165.34,604.67,SP,SP,4.517241379310345,1
2017-01-30/2017-02-05,pets,10.0,784.0,170.05,MG,MG,4.6,1
2017-01-30/2017-02-05,sports,39.0,4730.03,958.91,SP,SP,4.0,1
2017-01-30/2017-02-05,telephony,30.0,2366.1,476.35,SP,MG,4.133333333333334,1
2017-01-30/2017-02-05,toys,16.0,2797.5,295.31,SP,SP,4.125,1
2017-02-06/2017-02-12,automotive,34.0,5015.19,869.38,SP,RJ,4.205882352941177,2
2017-02-06/2017-02-12,baby,9.0,763.59,158.92000000000002,SP,SP,4.444444444444445,2
2017-02-06/2017-02-12,beauty_health,64.0,8642.43,1041.21,SP,SP,4.421875,2
2017-02-06/2017-02-12,construction_tools,4.0,916.78,82.35,PR,RJ,5.0,2
2017-02-06/2017-02-12,electronics,33.0,6302.92,498.81,SP,SP,4.151515151515151,2
2017-02-06/2017-02-12,entertainment,11.0,1393.7,198.96,PR,RJ,4.2727272727272725,2
2017-02-06/2017-02-12,fashion,25.0,1444.81,359.08,SP,MG,4.48,2
2017-02-06/2017-02-12,food,2.0,165.22,56.92,CE,MG,5.0,2
2017-02-06/2017-02-12,furniture,113.0,10753.34,2368.09,SP,SP,4.15929203539823,2
2017-02-06/2017-02-12,garden_tools,12.0,2466.97,262.79,SP,MG,3.9166666666666665,2
2017-02-06/2017-02-12,gifts,7.0,4878.97,122.43,SP,SP,4.571428571428571,2
2017-02-06/2017-02-12,home_appliances,16.0,2578.41,399.55,SP,RJ,4.75,2
2017-02-06/2017-02-12,housewares,26.0,8312.59,602.13,SP,SP,4.269230769230769,2
2017-02-06/2017-02-12,luggage,16.0,1102.4,281.16,MG,MG,4.75,2
2017-02-06/2017-02-12,office_supplies,42.0,6716.08,1106.97,SP,SP,4.095238095238095,2
2017-02-06/2017-02-12,other,30.0,4290.38,635.47,SP,SP,4.3,2
2017-02-06/2017-02-12,pets,10.0,665.33,169.48,SP,RJ,4.3,2
2017-02-06/2017-02-12,sports,62.0,4780.45,1038.21,SP,SP,4.451612903225806,2
2017-02-06/2017-02-12,telephony,38.0,2665.9700000000003,628.2,SP,MG,4.315789473684211,2
2017-02-06/2017-02-12,toys,21.0,3420.23,436.65,SP,MG,4.571428571428571,2
2017-02-13/2017-02-19,automotive,22.0,3327.01,537.3,SP,MG,4.5,2
2017-02-13/2017-02-19,baby,11.0,655.41,183.97,RS,MG,4.636363636363637,2
2017-02-13/2017-02-19,beauty_health,35.0,6692.57,908.09,SP,SP,3.9714285714285715,2
2017-02-13/2017-02-19,construction_tools,4.0,789.79,68.67999999999999,SC,RJ,5.0,2
2017-02-13/2017-02-19,electronics,37.0,3180.01,662.58,SP,SP,4.0,2
2017-02-13/2017-02-19,entertainment,7.0,621.69,184.67000000000002,SP,DF,4.142857142857143,2
2017-02-13/2017-02-19,fashion,14.0,948.8,217.89,SP,MG,4.5,2
2017-02-13/2017-02-19,food,3.0,327.3,92.1,CE,SP,4.666666666666667,2
2017-02-13/2017-02-19,furniture,127.0,11754.880000000001,2385.99,SP,SP,3.952755905511811,2
2017-02-13/2017-02-19,garden_tools,26.0,4628.93,580.74,SP,SP,3.769230769230769,2
2017-02-13/2017-02-19,gifts,3.0,756.3299999999999,46.410000000000004,SP,ES,4.333333333333333,2
2017-02-13/2017-02-19,home_appliances,19.0,3976.08,448.6,SP,SP,3.5789473684210527,2
2017-02-13/2017-02-19,housewares,18.0,1937.49,311.48,SP,SP,3.7777777777777777,2
2017-02-13/2017-02-19,luggage,2.0,189.8,30.2,MG,DF,4.5,2
2017-02-13/2017-02-19,office_supplies,15.0,2388.5099999999998,471.11,SP,MG,3.3333333333333335,2
2017-02-13/2017-02-19,other,25.0,2741.21,494.58,SP,SP,4.28,2
2017-02-13/2017-02-19,pets,8.0,1210.27,153.25,SP,SP,4.375,2
2017-02-13/2017-02-19,sports,24.0,3781.83,485.42,SP,SP,4.416666666666667,2
2017-02-13/2017-02-19,telephony,35.0,1454.42,519.27,SP,SP,4.0285714285714285,2
2017-02-13/2017-02-19,toys,17.0,1987.36,297.18,SP,SP,4.117647058823529,2
2017-02-20/2017-02-26,automotive,17.0,2382.4700000000003,306.7,SP,SP,4.294117647058823,2
2017-02-20/2017-02-26,baby,5.0,979.79,122.35,SP,SP,4.2,2
2017-02-20/2017-02-26,beauty_health,52.0,7344.28,1010.28,SP,SP,4.403846153846154,2
2017-02-20/2017-02-26,construction_tools,1.0,134.9,16.15,SC,SP,5.0,2
2017-02-20/2017-02-26,electronics,39.0,6138.78,752.38,SP,SP,4.230769230769231,2
2017-02-20/2017-02-26,entertainment,11.0,2005.19,274.0,PR,SP,4.2727272727272725,2
2017-02-20/2017-02-26,fashion,6.0,414.6,95.06,MG,SP,4.166666666666667,2
2017-02-20/2017-02-26,food,3.0,49.629999999999995,46.82,CE,PE,2.0,2
2017-02-20/2017-02-26,furniture,121.0,9911.25,2476.12,SP,SP,3.9421487603305785,2
2017-02-20/2017-02-26,garden_tools,18.0,3451.61,357.48,SP,SP,4.111111111111111,2
2017-02-20/2017-02-26,gifts,10.0,1168.05,121.76,SP,SP,3.7,2
2017-02-20/2017-02-26,home_appliances,5.0,881.8,133.62,SP,MG,4.6,2
2017-02-20/2017-02-26,housewares,20.0,1186.76,332.99,SP,SP,4.1,2
2017-02-20/2017-02-26,luggage,3.0,234.79,86.39,SP,RS,4.333333333333333,2
2017-02-20/2017-02-26,office_supplies,1.0,68.99,8.85,SP,SP,5.0,2
2017-02-20/2017-02-26,other,22.0,2501.21,392.35,SP,SP,4.636363636363637,2
2017-02-20/2017-02-26,pets,7.0,739.78,176.52,SP,SP,4.285714285714286,2
2017-02-20/2017-02-26,sports,31.0,3511.69,614.9,SP,SP,4.290322580645161,2
2017-02-20/2017-02-26,telephony,29.0,1038.8899999999999,444.86,SP,MG,4.068965517241379,2
2017-02-20/2017-02-26,toys,12.0,782.62,178.65,SP,SP,4.5,2
2017-02-27/2017-03-05,automotive,10.0,1200.76,193.95999999999998,SP,SP,4.4,2
2017-02-27/2017-03-05,baby,10.0,731.73,166.74,SP,SP,4.7,2
2017-02-27/2017-03-05,beauty_health,43.0,5230.27,750.77,SP,SP,4.27906976744186,2
2017-02-27/2017-03-05,construction_tools,1.0,38.9,14.52,RJ,SP,4.0,2
2017-02-27/2017-03-05,electronics,36.0,3334.72,607.12,MG,SP,3.9444444444444446,2
2017-02-27/2017-03-05,entertainment,20.0,3064.38,376.84000000000003,SP,SP,4.25,2
2017-02-27/2017-03-05,fashion,14.0,1277.9,240.57,MG,BA,4.428571428571429,2
2017-02-27/2017-03-05,food,2.0,319.8,45.1,CE,BA,5.0,2
2017-02-27/2017-03-05,furniture,174.0,12559.74,3029.86,SP,SP,4.155172413793103,2
2017-02-27/2017-03-05,garden_tools,16.0,2655.52,363.59999999999997,ES,RJ,4.5,2
2017-02-27/2017-03-05,gifts,17.0,5298.97,296.76,SP,SP,4.470588235294118,2
2017-02-27/2017-03-05,home_appliances,15.0,5485.4,408.55,SP,SP,4.466666666666667,2
2017-02-27/2017-03-05,housewares,31.0,1865.94,585.89,SP,SP,4.032258064516129,2
2017-02-27/2017-03-05,luggage,4.0,479.69,111.81,SP,SP,4.25,2
2017-02-27/2017-03-05,office_supplies,11.0,2271.55,334.69,SP,MG,3.0,2
2017-02-27/2017-03-05,other,41.0,7135.64,843.22,SP,PR,4.2439024390243905,2
2017-02-27/2017-03-05,pets,10.0,1411.8899999999999,147.21,SP,MG,4.7,2
2017-02-27/2017-03-05,sports,44.0,8703.28,861.8100000000001,SP,SP,4.636363636363637,2
2017-02-27/2017-03-05,telephony,33.0,1434.42,498.76,SP,SP,3.727272727272727,2
2017-02-27/2017-03-05,toys,23.0,2524.36,432.88,SP,SP,4.565217391304348,2
2017-03-06/2017-03-12,automotive,20.0,3567.94,688.16,SP,SP,4.1,3
2017-03-06/2017-03-12,baby,13.0,884.21,187.82,SP,SP,3.5384615384615383,3
2017-03-06/2017-03-12,beauty_health,61.0,9636.31,1167.77,SP,MG,4.327868852459017,3
2017-03-06/2017-03-12,construction_tools,6.0,91.08,63.17999999999999,RJ,RJ,5.0,3
2017-03-06/2017-03-12,electronics,63.0,8750.36,1179.16,SP,SP,3.746031746031746,3
2017-03-06/2017-03-12,entertainment,19.0,2231.0099999999998,332.51,SP,SP,4.052631578947368,3
2017-03-06/2017-03-12,fashion,23.0,1199.65,297.68,SP,PR,4.217391304347826,3
