delivery_time_days,review_score
13.0,4.0
9.0,5.0
13.0,5.0
2.0,5.0
16.0,4.0
9.0,5.0
9.0,1.0
18.0,5.0
12.0,1.0
5.0,4.0
12.0,5.0
4.0,5.0
11.0,4.0
13.0,5.0
12.0,5.0
6.0,5.0
13.0,4.0
21.0,2.0
4.0,5.0
4.0,3.0
18.0,4.0
4.0,5.0
28.0,2.0
12.0,1.0
9.0,5.0
14.0,4.0
30.0,4.0
8.0,2.0
18.0,1.0
22.0,4.0
18.0,5.0
1.0,5.0
30.0,5.0
20.0,4.0
7.0,5.0
17.0,5.0
10.0,3.0
11.0,5.0
33.0,1.0
7.0,5.0
9.0,4.0
10.0,1.0
10.0,4.0
3.0,5.0
4.0,5.0
6.0,5.0
12.0,5.0
7.0,5.0
5.0,1.0
19.0,4.0
4.0,5.0
7.0,5.0
3.0,5.0
24.0,1.0
23.0,1.0
5.0,5.0
4.0,4.0
5.0,5.0
7.0,5.0
18.0,4.0
2.0,4.0
9.0,3.0
10.0,4.0
4.0,5.0
5.0,5.0
9.0,3.0
3.0,5.0
6.0,5.0
9.0,4.0
17.0,5.0
19.0,1.0
10.0,5.0
9.0,5.0
6.0,1.0
2.0,4.0
2.0,3.0
18.0,5.0
4.0,5.0
8.0,3.0
20.0,4.0
23.0,2.0
11.0,5.0
13.0,5.0
17.0,4.0
10.0,5.0
24.0,5.0
3.0,4.0
20.0,5.0
16.0,1.0
19.0,4.0
7.0,5.0
13.0,5.0
4.0,5.0
36.0,1.0
10.0,5.0
13.0,5.0
2.0,5.0
6.0,5.0
3.0,5.0
7.0,4.0
9.0,4.0
12.0,4.0
12.0,5.0
11.0,2.0
3.0,1.0
56.0,1.0
1.0,5.0
5.0,5.0
6.0,5.0
12.0,4.0
54.0,3.0
1.0,5.0
1.0,5.0
15.0,1.0
7.0,5.0
21.0,4.0
6.0,3.0
11.0,4.0
5.0,5.0
27.0,1.0
6.0,4.0
1.0,1.0
5.0,4.0
7.0,5.0
5.0,5.0
11.0,5.0
9.0,1.0
3.0,5.0
6.0,5.0
8.0,5.0
8.0,5.0
2.0,5.0
7.0,5.0
7.0,5.0
8.0,5.0
6.0,1.0
8.0,2.0
28.0,1.0
14.0,5.0
15.0,5.0
10.0,5.0
4.0,5.0
5.0,5.0
15.0,5.0
17.0,5.0
9.0,5.0
23.0,5.0
11.0,3.0
7.0,5.0
8.0,5.0
3.0,4.0
3.0,5.0
14.0,4.0
15.0,5.0
14.0,4.0
