date,sales,rolling_sales,day_index
2016-10-04,63,72.0,30
2016-10-05,47,119.0,31
2016-10-06,51,170.0,32
2016-10-07,46,216.0,33
2016-10-08,42,258.0,34
2016-10-09,26,283.0,35
2016-10-10,39,314.0,36
2016-10-11,0,251.0,37
2016-10-12,0,204.0,38
2016-10-13,0,153.0,39
2016-10-14,0,107.0,40
2016-10-15,0,65.0,41
2016-10-16,0,39.0,42
2017-01-05,32,32.0,123
2017-01-06,4,36.0,124
2017-01-07,4,40.0,125
2017-01-08,6,46.0,126
2017-01-09,5,51.0,127
2017-01-10,6,57.0,128
2017-01-11,12,69.0,129
2017-01-12,13,50.0,130
2017-01-13,12,58.0,131
2017-01-14,18,72.0,132
2017-01-15,14,80.0,133
2017-01-16,19,94.0,134
2017-01-17,32,120.0,135
2017-01-18,33,141.0,136
2017-01-19,29,157.0,137
2017-01-20,29,174.0,138
2017-01-21,24,180.0,139
2017-01-22,31,197.0,140
2017-01-23,39,217.0,141
2017-01-24,40,225.0,142
2017-01-25,63,255.0,143
2017-01-26,86,312.0,144
2017-01-27,62,345.0,145
2017-01-28,29,350.0,146
2017-01-29,35,354.0,147
2017-01-30,53,368.0,148
2017-01-31,70,398.0,149
2017-02-01,73,408.0,150
2017-02-02,69,391.0,151
2017-02-03,60,389.0,152
2017-02-04,67,427.0,153
2017-02-05,75,467.0,154
2017-02-06,85,499.0,155
2017-02-07,112,541.0,156
2017-02-08,95,563.0,157
2017-02-09,77,571.0,158
2017-02-10,66,577.0,159
2017-02-11,49,559.0,160
2017-02-12,64,548.0,161
2017-02-13,78,541.0,162
2017-02-14,76,505.0,163
2017-02-15,62,472.0,164
2017-02-16,55,450.0,165
2017-02-17,46,430.0,166
2017-02-18,54,435.0,167
2017-02-19,40,411.0,168
2017-02-20,63,396.0,169
2017-02-21,41,361.0,170
2017-02-22,63,362.0,171
2017-02-23,59,366.0,172
2017-02-24,64,384.0,173
2017-02-25,43,373.0,174
2017-02-26,46,379.0,175
2017-02-27,43,359.0,176
2017-02-28,55,373.0,177
2017-03-01,99,409.0,178
2017-03-02,72,422.0,179
2017-03-03,74,432.0,180
2017-03-04,80,469.0,181
2017-03-05,74,497.0,182
2017-03-06,105,559.0,183
2017-03-07,82,586.0,184
2017-03-08,79,566.0,185
2017-03-09,93,587.0,186
2017-03-10,88,601.0,187
2017-03-11,71,592.0,188
2017-03-12,64,582.0,189
2017-03-13,111,588.0,190
2017-03-14,99,605.0,191
