week,sales,week_index
2016-10-03,283,5
2016-10-10,39,6
2017-01-02,46,18
2017-01-09,80,19
2017-01-16,197,20
2017-01-23,354,21
2017-01-30,467,22
2017-02-06,548,23
2017-02-13,411,24
2017-02-20,379,25
2017-02-27,497,26
2017-03-06,582,27
2017-03-13,615,28
2017-03-20,654,29
2017-03-27,565,30
2017-04-03,586,31
2017-04-10,443,32
2017-04-17,571,33
2017-04-24,671,34
2017-05-01,788,35
2017-05-08,794,36
2017-05-15,940,37
2017-05-22,784,38
2017-05-29,836,39
2017-06-05,847,40
2017-06-12,753,41
2017-06-19,661,42
2017-06-26,730,43
2017-07-03,841,44
2017-07-10,959,45
2017-07-17,963,46
2017-07-24,927,47
2017-07-31,984,48
2017-08-07,939,49
2017-08-14,1044,50
2017-08-21,890,51
2017-08-28,1009,52
2017-09-04,904,53
2017-09-11,1164,54
2017-09-18,994,55
2017-09-25,964,56
2017-10-02,998,57
2017-10-09,1070,58
2017-10-16,1147,59
2017-10-23,978,60
2017-10-30,942,61
2017-11-06,1217,62
2017-11-13,1313,63
2017-11-20,3008,64
2017-11-27,2098,65
2017-12-04,1692,66
2017-12-11,1401,67
2017-12-18,978,68
2017-12-25,877,69
2018-01-01,1383,70
2018-01-08,1785,71
2018-01-15,1750,72
2018-01-22,1591,73
2018-01-29,1598,74
2018-02-05,1584,75
2018-02-12,1640,76
2018-02-19,1756,77
2018-02-26,1903,78
2018-03-05,1643,79
2018-03-12,1595,80
2018-03-19,1716,81
2018-03-26,1471,82
2018-04-02,1590,83
2018-04-09,1554,84
2018-04-16,1672,85
2018-04-23,1676,86
2018-04-30,1770,87
2018-05-07,1987,88
2018-05-14,1837,89
2018-05-21,954,90
2018-05-28,1083,91
2018-06-04,1438,92
2018-06-11,1514,93
2018-06-18,1457,94
2018-06-25,1401,95
2018-07-02,1196,96
2018-07-09,1001,97
2018-07-16,1678,98
2018-07-23,1646,99
2018-07-30,2058,100
2018-08-06,1988,101
2018-08-13,1875,102
2018-08-20,1071,103
2018-08-27,130,104
