week,total_items_sold,total_price,items_sold_agro_industry_and_commerce,items_sold_air_conditioning,items_sold_art,items_sold_arts_and_craftmanship,items_sold_audio,items_sold_auto,items_sold_baby,items_sold_bed_bath_table,items_sold_books_general_interest,items_sold_books_imported,items_sold_books_technical,items_sold_cds_dvds_musicals,items_sold_christmas_supplies,items_sold_cine_photo,items_sold_computers,items_sold_computers_accessories,items_sold_consoles_games,items_sold_construction_tools_construction,items_sold_construction_tools_lights,items_sold_construction_tools_safety,items_sold_cool_stuff,items_sold_costruction_tools_garden,items_sold_costruction_tools_tools,items_sold_diapers_and_hygiene,items_sold_drinks,items_sold_dvds_blu_ray,items_sold_electronics,items_sold_fashio_female_clothing,items_sold_fashion_bags_accessories,items_sold_fashion_childrens_clothes,items_sold_fashion_male_clothing,items_sold_fashion_shoes,items_sold_fashion_sport,items_sold_fashion_underwear_beach,items_sold_fixed_telephony,items_sold_flowers,items_sold_food,items_sold_food_drink,items_sold_furniture_bedroom,items_sold_furniture_decor,items_sold_furniture_living_room,items_sold_furniture_mattress_and_upholstery,items_sold_garden_tools,items_sold_health_beauty,items_sold_home_appliances,items_sold_home_appliances_2,items_sold_home_comfort_2,items_sold_home_confort,items_sold_home_construction,items_sold_housewares,items_sold_industry_commerce_and_business,items_sold_kitchen_dining_laundry_garden_furniture,items_sold_la_cuisine,items_sold_luggage_accessories,items_sold_market_place,items_sold_music,items_sold_musical_instruments,items_sold_office_furniture,items_sold_party_supplies,items_sold_perfumery,items_sold_pet_shop,items_sold_security_and_services,items_sold_signaling_and_security,items_sold_small_appliances,items_sold_small_appliances_home_oven_and_coffee,items_sold_sports_leisure,items_sold_stationery,items_sold_tablets_printing_image,items_sold_telephony,items_sold_toys,items_sold_watches_gifts,price_agro_industry_and_commerce,price_air_conditioning,price_art,price_arts_and_craftmanship,price_audio,price_auto,price_baby,price_bed_bath_table,price_books_general_interest,price_books_imported,price_books_technical,price_cds_dvds_musicals,price_christmas_supplies,price_cine_photo,price_computers,price_computers_accessories,price_consoles_games,price_construction_tools_construction,price_construction_tools_lights,price_construction_tools_safety,price_cool_stuff,price_costruction_tools_garden,price_costruction_tools_tools,price_diapers_and_hygiene,price_drinks,price_dvds_blu_ray,price_electronics,price_fashio_female_clothing,price_fashion_bags_accessories,price_fashion_childrens_clothes,price_fashion_male_clothing,price_fashion_shoes,price_fashion_sport,price_fashion_underwear_beach,price_fixed_telephony,price_flowers,price_food,price_food_drink,price_furniture_bedroom,price_furniture_decor,price_furniture_living_room,price_furniture_mattress_and_upholstery,price_garden_tools,price_health_beauty,price_home_appliances,price_home_appliances_2,price_home_comfort_2,price_home_confort,price_home_construction,price_housewares,price_industry_commerce_and_business,price_kitchen_dining_laundry_garden_furniture,price_la_cuisine,price_luggage_accessories,price_market_place,price_music,price_musical_instruments,price_office_furniture,price_party_supplies,price_perfumery,price_pet_shop,price_security_and_services,price_signaling_and_security,price_small_appliances,price_small_appliances_home_oven_and_coffee,price_sports_leisure,price_stationery,price_tablets_printing_image,price_telephony,price_toys,price_watches_gifts,most_items_category,most_price_category
2016-10-03,322,45715.090000000004,0.0,10.0,0.0,0.0,1.0,11.0,13.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,25.0,5.0,0.0,1707.0900000000001,0.0,0.0,132.0,1671.26,1530.16,478.99,119.5,0.0,267.0,0.0,0.0,0.0,0.0,1216.32,3717.2599999999998,0.0,0.0,0.0,1111.0,0.0,0.0,134.9,0.0,0.0,1306.99,54.9,428.5,0.0,24.9,29.99,0.0,0.0,698.88,0.0,0.0,0.0,0.0,4599.63,0.0,0.0,1359.88,4090.11,0.0,0.0,0.0,0.0,0.0,1254.0800000000002,359.6,0.0,0.0,0.0,831.2,0.0,0.0,1123.9099999999999,0.0,5671.8,589.78,0.0,0.0,0.0,0.0,3193.76,0.0,0.0,450.28,4135.29,3360.24,furniture_decor,perfumery
2016-10-10,40,3692.57,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.99,161.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,79.9,0.0,0.0,1208.26,0.0,0.0,0.0,462.40000000000003,0.0,0.0,0.0,0.0,0.0,32.99,0.0,0.0,0.0,0.0,474.99,0.0,0.0,176.97,0.0,16.9,99.9,0.0,0.0,0.0,0.0,139.88,0.0,0.0,49.8,329.79999999999995,0.0,furniture_decor,furniture_decor
2017-01-02,47,3374.76,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,21.8,21.8,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.9,0.0,0.0,0.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.09000000000003,0.0,0.0,0.0,0.0,0.0,21.48,0.0,0.0,0.0,73.2,294.70000000000005,0.0,0.0,304.9,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,203.79000000000002,149.0,fashion_bags_accessories,health_beauty
2017-01-09,89,12937.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,179.8,299.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.90000000000003,109.9,0.0,0.0,0.0,564.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.88999999999999,0.0,0.0,0.0,0.0,0.0,91.78,0.0,0.0,0.0,0.0,1939.2,0.0,0.0,3420.0,704.6899999999999,0.0,0.0,0.0,0.0,0.0,518.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,474.99,0.0,993.5,0.0,0.0,1543.45,454.79,1107.17,furniture_decor,garden_tools
2017-01-16,239,24310.46,0.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,7.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,21.0,10.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1827.99,787.03,1101.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.5,1931.74,0.0,0.0,0.0,1447.6,0.0,0.0,0.0,0.0,0.0,557.1,0.0,339.5,0.0,126.9,34.9,0.0,86.25,372.94,0.0,0.0,0.0,0.0,4854.110000000001,0.0,0.0,636.67,3487.95,0.0,467.0,0.0,0.0,0.0,698.15,0.0,0.0,0.0,0.0,172.88,0.0,0.0,0.0,0.0,93.69999999999999,294.33,0.0,0.0,37.9,0.0,1679.52,881.39,0.0,21.87,939.45,568.0,furniture_decor,furniture_decor
2017-01-23,420,57773.15,2.0,4.0,0.0,0.0,0.0,15.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,57.0,4.0,0.0,22.0,45.0,0.0,3.0,2.0,0.0,0.0,19.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,26.0,6.0,1.0,0.0,1.0,0.0,41.0,3.0,0.0,11.0,22.0,3.0,43.98,663.7,0.0,0.0,0.0,2672.56,4409.37,1335.28,124.99,0.0,0.0,0.0,0.0,0.0,0.0,2515.24,3348.96,0.0,0.0,0.0,4283.3,0.0,0.0,0.0,0.0,0.0,59.9,77.3,930.59,0.0,0.0,0.0,0.0,0.0,179.93,0.0,42.82,0.0,0.0,4614.83,617.96,0.0,2690.48,4853.86,0.0,858.8,72.8,0.0,0.0,1399.64,0.0,110.0,0.0,382.7,224.16,0.0,339.74,559.56,0.0,4349.4,622.39,183.29,0.0,839.0,0.0,5982.24,669.6999999999999,0.0,969.8000000000001,2764.09,2820.4,furniture_decor,sports_leisure
2017-01-30,522,71710.34,2.0,0.0,0.0,0.0,1.0,16.0,14.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,9.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,70.0,12.0,0.0,29.0,64.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,0.0,2.0,24.0,0.0,22.0,8.0,0.0,0.0,7.0,0.0,37.0,5.0,2.0,27.0,15.0,12.0,43.98,0.0,0.0,0.0,29.9,2139.1,1249.77,3156.54,159.8,0.0,0.0,0.0,0.0,0.0,2199.99,1861.53,2303.2,459.9,0.0,0.0,3907.41,0.0,0.0,0.0,0.0,29.8,0.0,0.0,761.09,0.0,135.3,0.0,0.0,151.98,60.87,0.0,149.9,0.0,0.0,6718.43,1835.9,0.0,2025.1,11321.45,0.0,816.87,0.0,94.76,0.0,297.7,0.0,0.0,0.0,689.2,136.9,0.0,1587.72,3246.16,0.0,1920.8,630.0,0.0,0.0,882.49,0.0,4131.76,819.5,198.0,2425.2200000000003,2692.51,5077.639999999999,furniture_decor,health_beauty
2017-02-06,587,78487.83,2.0,1.0,0.0,0.0,0.0,35.0,11.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,15.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,58.0,4.0,0.0,12.0,51.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,29.0,0.0,15.0,10.0,0.0,0.0,13.0,0.0,60.0,11.0,2.0,34.0,22.0,8.0,114.89,109.0,0.0,0.0,0.0,5279.19,963.39,4566.39,329.21000000000004,0.0,0.0,0.0,0.0,0.0,0.0,5905.969999999999,760.79,149.9,0.0,0.0,3610.85,579.98,0.0,0.0,0.0,14.9,268.65,119.0,865.97,0.0,124.80000000000001,37.25,0.0,222.99,75.88,0.0,165.22,0.0,0.0,4879.87,709.97,0.0,2466.97,4897.78,159.0,0.0,0.0,0.0,186.9,8983.09,0.0,0.0,0.0,655.2,178.68,0.0,263.9,5193.21,0.0,3437.4999999999995,665.3299999999999,0.0,0.0,2201.41,0.0,4659.37,1198.01,198.0,2573.01,3470.13,5113.77,sports_leisure,housewares
2017-02-13,451,54493.94,3.0,9.0,0.0,0.0,2.0,21.0,11.0,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,2.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,65.0,0.0,0.0,26.0,27.0,6.0,0.0,0.0,1.0,2.0,19.0,0.0,1.0,0.0,2.0,6.0,0.0,2.0,13.0,0.0,8.0,8.0,0.0,0.0,5.0,0.0,24.0,2.0,0.0,28.0,17.0,3.0,65.97,2546.4,0.0,0.0,69.9,3183.21,655.41,4986.63,116.0,99.0,159.0,0.0,0.0,59.0,0.0,2876.21,155.89000000000001,36.99,0.0,379.0,2080.72,0.0,0.0,0.0,0.0,0.0,480.0,129.9,404.25,0.0,271.85,69.8,0.0,73.0,206.65,0.0,366.2,0.0,450.0,4929.12,0.0,0.0,4911.94,4642.76,581.9,0.0,0.0,230.0,373.8,2032.66,0.0,110.0,0.0,189.8,684.52,0.0,131.8,3058.61,0.0,1586.3899999999999,1210.27,0.0,0.0,1495.68,0.0,3901.84,254.9,0.0,1142.67,1987.3600000000001,756.3299999999999,furniture_decor,bed_bath_table
2017-02-20,431,47463.29,1.0,2.0,0.0,0.0,1.0,19.0,5.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,73.0,12.0,0.0,18.0,38.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,0.0,33.0,1.0,4.0,27.0,12.0,9.0,21.99,439.9,0.0,0.0,19.0,3117.09,979.79,3326.88,277.6,0.0,0.0,0.0,0.0,0.0,3549.0,1804.78,1528.59,0.0,0.0,0.0,2806.92,0.0,0.0,0.0,0.0,0.0,328.0,208.9,323.7,0.0,110.9,0.0,0.0,0.0,97.88,0.0,34.31,0.0,0.0,5344.24,1400.8,0.0,4061.7,4445.64,0.0,0.0,0.0,0.0,134.9,1367.62,119.0,0.0,0.0,269.78,378.32,0.0,199.0,0.0,0.0,1262.29,883.98,0.0,0.0,441.9,0.0,3867.9900000000002,68.99,396.0,991.97,782.62,1361.15,furniture_decor,furniture_decor
