bed_bath_table,health_beauty,sports_leisure,furniture_decor,computers_accessories
13497.19,20753.23,8616.74,10352.17,6342.96
17922.26,19718.94,9748.47,6894.63,8489.23
11839.21,12916.37,9044.29,10137.58,9159.4
8637.78,16462.21,9824.63,8481.82,8599.0
6174.16,19599.36,5917.2,4003.98,5301.24
13368.73,25754.08,10116.75,10876.96,9171.16
9086.56,22903.59,11468.71,12618.92,9127.73
16307.94,30102.62,11325.88,12133.54,12151.29
14761.78,32679.15,9486.78,12309.69,12389.65
15077.35,23208.08,17745.41,10540.03,9510.9
8629.02,15721.97,6250.38,4640.23,3179.73
