bed_bath_table,health_beauty,sports_leisure,furniture_decor,computers_accessories
14367.17,21922.12,14738.49,10063.97,9950.77
10840.12,21699.83,13230.48,12870.83,22434.22
18932.8,16344.22,11884.57,13433.07,10137.87
11961.7,8894.15,5539.51,6644.27,9058.94
12028.26,22216.81,8928.26,5892.41,5522.32
14291.27,23986.74,5788.68,6301.21,10913.77
13497.19,20753.23,8616.74,10352.17,6342.96
17922.26,19718.94,9748.47,6894.63,8489.23
11839.21,12916.37,9044.29,10137.58,9159.4
8637.78,16462.21,9824.63,8481.82,8599.0
6174.16,19599.36,5917.2,4003.98,5301.24
13368.73,25754.08,10116.75,10876.96,9171.16
9086.56,22903.59,11468.71,12618.92,9127.73
16307.94,30102.62,11325.88,12133.54,12151.29
14761.78,32679.15,9486.78,12309.69,12389.65
15077.35,23208.08,17745.41,10540.03,9510.9
8629.02,15721.97,6250.38,4640.23,3179.73
