bed_bath_table,health_beauty,sports_leisure,furniture_decor,computers_accessories
146.0,125.00000000000001,100.0,150.0,112.0
144.0,145.0,102.0,115.0,80.0
154.0,195.0,109.0,113.0,90.0
130.0,199.0,112.0,141.0,129.0
187.0,134.0,114.0,147.99999999999997,96.0
117.0,80.0,47.0,65.0,71.0
109.99999999999999,97.0,65.0,80.0,39.0
180.0,154.0,61.99999999999999,60.0,89.0
149.0,167.0,85.0,85.0,66.0
173.0,186.0,83.99999999999999,67.0,95.0
136.0,154.0,82.0,100.0,90.0
92.0,155.0,93.0,79.0,71.0
65.0,106.99999999999999,51.99999999999999,32.0,53.00000000000001
144.0,186.0,88.0,107.0,90.0
119.0,147.0,109.0,109.0,93.0
156.0,193.0,119.0,127.0,121.0
162.0,226.99999999999997,100.0,118.00000000000001,102.0
168.0,193.0,129.0,113.0,102.0
87.0,124.0,67.0,55.00000000000001,49.0
